author,NF,F,NC,Total,F_Ratio
117582,1126,2,1520,2648,0.0007552870090634441
646209,124,0,237,361,0.0
651654,47,0,61,108,0.0
966540,142,0,296,438,0.0
586842,163,0,406,569,0.0
17869,1268,0,432,1700,0.0
810573,62,0,185,247,0.0
966569,7,0,6,13,0.0
504998,290,0,127,417,0.0
977296,21,0,17,38,0.0
2187,18,0,29,47,0.0
271642,2586,4,1004,3594,0.0011129660545353367
61282,348,0,142,490,0.0
729632,278,0,172,450,0.0
589591,562,13,770,1345,0.009665427509293681
228693,122,0,263,385,0.0
564,631,3,415,1049,0.002859866539561487
863857,82,0,43,125,0.0
586342,116,0,48,164,0.0
347097,21,0,22,43,0.0
242480,15,0,4,19,0.0
5825,772,0,531,1303,0.0
624216,98,1,43,142,0.007042253521126761
412698,992,19,808,1819,0.010445299615173173
217278,14,0,3,17,0.0
77695,43,0,23,66,0.0
779912,2,0,1,3,0.0
258233,968,0,784,1752,0.0
583273,606,0,533,1139,0.0
120677,166,0,64,230,0.0
718802,1,0,0,1,0.0
812804,61,0,60,121,0.0
884634,447,0,209,656,0.0
589706,1,0,1,2,0.0
547893,1,0,0,1,0.0
158876,30,0,28,58,0.0
208433,3,0,12,15,0.0
984305,48,0,158,206,0.0
54597,177,1,131,309,0.003236245954692557
37843,10,0,15,25,0.0
291488,27,0,54,81,0.0
482932,0,0,1,1,0.0
952231,26,0,30,56,0.0
607372,45,0,33,78,0.0
571291,51,0,51,102,0.0
795630,1,0,11,12,0.0
473551,104,0,100,204,0.0
812759,147,0,73,220,0.0
551163,109,0,14,123,0.0
402659,10,0,1,11,0.0
618250,397,0,106,503,0.0
26683,61,1,33,95,0.010526315789473684
696286,140,0,98,238,0.0
761594,1,0,0,1,0.0
437347,14,0,6,20,0.0
336174,45,0,27,72,0.0
450715,145,0,98,243,0.0
94572,38,0,37,75,0.0
973025,41,0,13,54,0.0
342111,1,0,7,8,0.0
738859,3,0,1,4,0.0
490103,92,0,49,141,0.0
187160,182,0,80,262,0.0
939004,25,0,3,28,0.0
353628,18,0,3,21,0.0
560592,211,0,272,483,0.0
992530,20,0,27,47,0.0
990917,53,0,124,177,0.0
574550,55,0,19,74,0.0
801063,197,0,98,295,0.0
93558,6,0,3,9,0.0
815084,2,0,0,2,0.0
876271,53,0,12,65,0.0
928315,712,0,452,1164,0.0
41714,17,0,16,33,0.0
881072,46,0,22,68,0.0
747726,24,0,41,65,0.0
715345,0,0,1,1,0.0
973094,11,0,2,13,0.0
260371,48,0,10,58,0.0
70278,6,0,0,6,0.0
914294,66,0,20,86,0.0
587393,340,0,240,580,0.0
713460,82,0,26,108,0.0
918219,27,0,10,37,0.0
851366,17,0,22,39,0.0
287039,368,1,173,542,0.0018450184501845018
315269,224,0,140,364,0.0
82762,91,0,41,132,0.0
742898,16,0,16,32,0.0
178538,33,0,3,36,0.0
929500,24,0,2,26,0.0
338505,68,3,61,132,0.022727272727272728
812643,566,12,235,813,0.014760147601476014
943140,12,0,13,25,0.0
666302,189,0,99,288,0.0
750782,82,0,43,125,0.0
834891,11,0,6,17,0.0
202458,4,0,0,4,0.0
633655,89,0,58,147,0.0
756052,8,0,3,11,0.0
126716,20,0,1,21,0.0
33261,102,0,21,123,0.0
143723,2212,0,1892,4104,0.0
896485,373,6,148,527,0.011385199240986717
500314,20,0,19,39,0.0
196506,3,0,1,4,0.0
433996,4,0,16,20,0.0
667455,42,0,45,87,0.0
586385,424,6,193,623,0.009630818619582664
948124,145,0,100,245,0.0
61782,27,0,69,96,0.0
730038,0,0,3,3,0.0
883835,4,0,3,7,0.0
552870,94,0,48,142,0.0
252953,43,0,17,60,0.0
183289,0,0,2,2,0.0
872430,0,0,2,2,0.0
663774,2,0,2,4,0.0
76867,5,0,4,9,0.0
110139,19,0,10,29,0.0
488627,74,0,58,132,0.0
407230,12,0,12,24,0.0
642454,36,0,19,55,0.0
639284,0,0,3,3,0.0
600868,13,0,4,17,0.0
883680,84,1,69,154,0.006493506493506494
514830,26,0,25,51,0.0
185508,101,0,425,526,0.0
326496,94,0,104,198,0.0
482721,0,0,5,5,0.0
811713,9,0,7,16,0.0
319478,196,0,500,696,0.0
290979,2003,0,466,2469,0.0
537911,0,0,34,34,0.0
854688,409,0,1508,1917,0.0
490128,191,0,229,420,0.0
752982,3,0,5,8,0.0
178693,59,0,42,101,0.0
30878,242,0,246,488,0.0
603704,230,0,202,432,0.0
542465,31,0,321,352,0.0
210108,3,0,2,5,0.0
25637,58,0,50,108,0.0
478042,4,0,34,38,0.0
496356,0,0,3,3,0.0
413916,60,0,148,208,0.0
846430,224,0,83,307,0.0
35547,22,0,10,32,0.0
688042,352,2,191,545,0.003669724770642202
233281,0,0,290,290,0.0
776871,328,0,421,749,0.0
463301,55,0,137,192,0.0
160285,94,0,35,129,0.0
721331,1,0,2,3,0.0
984010,4,0,5,9,0.0
596502,297,0,490,787,0.0
59039,11,0,135,146,0.0
69720,143,0,176,319,0.0
476984,527,0,193,720,0.0
246181,201,0,533,734,0.0
469141,205,0,91,296,0.0
752240,28,0,33,61,0.0
699086,38,0,98,136,0.0
431559,35,0,60,95,0.0
722573,5,0,17,22,0.0
418486,16,0,77,93,0.0
32911,1,0,0,1,0.0
28152,2,0,0,2,0.0
421058,0,0,4,4,0.0
244946,1,0,5,6,0.0
506649,0,0,7,7,0.0
356479,18,0,7,25,0.0
301437,9,0,3,12,0.0
125841,5,0,2,7,0.0
417217,1,0,1,2,0.0
395012,1,0,1,2,0.0
539109,41,0,31,72,0.0
16493,25,0,53,78,0.0
313031,162,0,72,234,0.0
776578,45,0,146,191,0.0
112844,33,0,28,61,0.0
456759,9,0,5,14,0.0
972341,4,0,3,7,0.0
91211,555,0,331,886,0.0
176353,2,0,0,2,0.0
356328,74,1,27,102,0.00980392156862745
505362,72,0,44,116,0.0
33146,43,0,15,58,0.0
60046,6,0,1,7,0.0
550860,49,0,15,64,0.0
357622,22,0,10,32,0.0
294469,17,0,3,20,0.0
371283,14,0,3,17,0.0
928220,68,0,28,96,0.0
295118,8,0,0,8,0.0
894077,20,0,21,41,0.0
270547,9,0,0,9,0.0
339801,11,0,13,24,0.0
924431,2,0,0,2,0.0
787184,26,0,1,27,0.0
492455,11,0,7,18,0.0
92771,16,0,7,23,0.0
98889,1,0,0,1,0.0
636151,51,0,20,71,0.0
664507,10,0,5,15,0.0
561999,55,0,41,96,0.0
626898,32,0,19,51,0.0
510074,3,0,1,4,0.0
744479,4,0,1,5,0.0
74552,6,5,8,19,0.2631578947368421
715040,7,0,1,8,0.0
62499,2,0,0,2,0.0
575584,1,0,2,3,0.0
969497,7,0,1,8,0.0
234013,7,0,9,16,0.0
661915,3,0,1,4,0.0
865843,0,0,8,8,0.0
834038,0,0,18,18,0.0
56465,21,0,11,32,0.0
624286,2,0,22,24,0.0
861628,117,0,164,281,0.0
554597,18,0,69,87,0.0
516266,126,0,110,236,0.0
209632,9,0,5,14,0.0
991558,3,0,1,4,0.0
924513,3,0,0,3,0.0
790583,0,0,1,1,0.0
789762,1573,11,900,2484,0.004428341384863124
827268,11,4,5,20,0.2
336074,4,0,3,7,0.0
658128,1,0,1,2,0.0
84877,36,0,2,38,0.0
811977,12,0,2,14,0.0
401633,1,0,0,1,0.0
601299,1,0,0,1,0.0
457983,3,0,0,3,0.0
291332,1,0,0,1,0.0
832661,9,0,0,9,0.0
789873,0,0,1,1,0.0
64771,1,0,0,1,0.0
949764,1,0,0,1,0.0
178886,5,0,3,8,0.0
465114,0,0,4,4,0.0
701103,3,0,1,4,0.0
674129,1,0,0,1,0.0
453167,3,0,5,8,0.0
686602,9,0,0,9,0.0
710348,6,0,2,8,0.0
455965,4,0,21,25,0.0
803989,2,0,2,4,0.0
907093,2,0,1,3,0.0
995775,5,0,1,6,0.0
111988,2,0,0,2,0.0
385182,1,0,0,1,0.0
102682,3,0,8,11,0.0
383264,18,0,19,37,0.0
37665,1,0,0,1,0.0
612494,29,0,13,42,0.0
955783,0,0,4,4,0.0
672000,22,0,17,39,0.0
240882,2,0,410,412,0.0
781053,4,0,7,11,0.0
781908,112,2,86,200,0.01
297492,14,0,19,33,0.0
535498,571,0,1903,2474,0.0
467575,224,0,138,362,0.0
708064,3,0,1,4,0.0
180678,3,0,0,3,0.0
688820,13,0,1,14,0.0
70425,4,0,4,8,0.0
976154,40,2,21,63,0.031746031746031744
532183,49,0,10,59,0.0
604488,22,0,18,40,0.0
534869,0,0,4,4,0.0
938638,13,0,0,13,0.0
254096,6,0,0,6,0.0
161928,470,0,562,1032,0.0
916875,3,0,169,172,0.0
789748,5,0,11,16,0.0
933389,9,0,1,10,0.0
642922,533,0,190,723,0.0
171840,22,0,10,32,0.0
881276,2,0,0,2,0.0
716898,256,0,1883,2139,0.0
687549,8,0,1,9,0.0
966791,6,0,1,7,0.0
949273,54,0,36,90,0.0
816258,46,0,72,118,0.0
702855,1,0,0,1,0.0
737337,533,0,535,1068,0.0
472120,5,0,0,5,0.0
818647,10,0,14,24,0.0
143210,14,4,28,46,0.08695652173913043
46175,2,0,0,2,0.0
544570,8,0,1,9,0.0
76583,61,0,11,72,0.0
281609,271,0,80,351,0.0
869268,1,0,0,1,0.0
346809,3,0,0,3,0.0
661167,28,0,0,28,0.0
691332,3,0,5,8,0.0
446155,3,0,1,4,0.0
804527,2,0,0,2,0.0
804260,4,0,2,6,0.0
127648,3,0,0,3,0.0
648307,70,0,918,988,0.0
801243,2,0,0,2,0.0
260615,13,0,17,30,0.0
122560,339,0,133,472,0.0
644082,0,0,1,1,0.0
861849,2,0,1,3,0.0
796789,7,0,2,9,0.0
559662,26,0,23,49,0.0
684251,18,0,6,24,0.0
865248,26,0,98,124,0.0
774055,13,0,7,20,0.0
221477,4,0,7,11,0.0
670503,336,0,145,481,0.0
194724,24,0,7,31,0.0
352117,1,0,0,1,0.0
249225,0,0,11,11,0.0
39648,1,0,8,9,0.0
560935,3,0,234,237,0.0
475121,4,0,246,250,0.0
747263,0,0,2,2,0.0
873306,6,0,2,8,0.0
158537,0,0,1,1,0.0
848221,6,0,1,7,0.0
512599,3,0,1,4,0.0
765647,11,0,2,13,0.0
312158,2,0,1,3,0.0
172482,3,0,9,12,0.0
653161,0,0,7,7,0.0
479294,8,0,2,10,0.0
381454,0,0,1,1,0.0
927867,0,0,3,3,0.0
75343,4,0,31,35,0.0
756323,2,0,1,3,0.0
567692,2,0,15,17,0.0
86234,0,0,30,30,0.0
832951,15,0,0,15,0.0
979098,1,0,5,6,0.0
432125,0,0,2,2,0.0
886928,0,0,1,1,0.0
669136,0,0,2,2,0.0
72196,0,0,5,5,0.0
558883,9,0,1,10,0.0
344848,1,0,1,2,0.0
42164,0,0,3,3,0.0
144902,8,0,1,9,0.0
324766,0,0,4,4,0.0
402265,19,0,3,22,0.0
298360,0,0,1,1,0.0
710918,6,0,1,7,0.0
236219,2,0,0,2,0.0
889978,26,0,20,46,0.0
337847,29,0,30,59,0.0
497709,150,0,157,307,0.0
403966,27,0,28,55,0.0
592246,3,0,0,3,0.0
114587,7,0,0,7,0.0
730900,13,0,16,29,0.0
918656,2,0,7,9,0.0
812964,314,0,148,462,0.0
461935,3,0,2,5,0.0
751390,272,0,350,622,0.0
932633,1,0,0,1,0.0
416401,885,0,198,1083,0.0
752805,25,0,37,62,0.0
777942,17,0,19,36,0.0
729890,1,0,1,2,0.0
235238,184,0,252,436,0.0
240692,3,0,0,3,0.0
324995,122,0,148,270,0.0
70402,100,0,48,148,0.0
754336,3,0,0,3,0.0
833671,34,0,16,50,0.0
646581,4,0,9,13,0.0
218353,73,0,236,309,0.0
412627,36,0,67,103,0.0
795674,55,0,42,97,0.0
774635,0,0,2,2,0.0
50604,0,0,3,3,0.0
739287,14,0,5,19,0.0
459327,0,0,1,1,0.0
438148,0,0,3,3,0.0
175949,9,0,4,13,0.0
357690,1,0,0,1,0.0
837107,1,0,0,1,0.0
416560,13,0,1,14,0.0
355628,4,0,0,4,0.0
178321,0,0,1,1,0.0
22376,0,0,2,2,0.0
66333,0,0,4,4,0.0
489945,7,0,24,31,0.0
887722,1,0,0,1,0.0
60327,1,0,0,1,0.0
286145,0,0,2,2,0.0
983239,7,0,0,7,0.0
632638,0,0,1,1,0.0
953954,6,0,0,6,0.0
574082,46,0,17,63,0.0
708186,4,0,6,10,0.0
440248,2,0,5,7,0.0
408072,12,0,4,16,0.0
464794,1,0,0,1,0.0
878186,1,0,0,1,0.0
733371,144,2,60,206,0.009708737864077669
879325,23,0,12,35,0.0
45023,16,0,26,42,0.0
34244,7,0,0,7,0.0
720924,6,0,1,7,0.0
404556,13,0,4,17,0.0
514698,5,0,2,7,0.0
90988,39,0,70,109,0.0
38938,0,0,105,105,0.0
114358,0,0,845,845,0.0
934404,0,0,51,51,0.0
706361,0,0,2,2,0.0
747334,0,0,3,3,0.0
960174,7,0,6,13,0.0
723564,3,0,0,3,0.0
358081,156,0,152,308,0.0
402105,1,0,0,1,0.0
621399,140,0,114,254,0.0
81114,202,0,350,552,0.0
253628,945,0,688,1633,0.0
837257,92,0,43,135,0.0
923207,613,0,249,862,0.0
931022,26,0,7,33,0.0
553162,28,0,11,39,0.0
913206,26,0,21,47,0.0
765885,27,0,8,35,0.0
935856,2,0,0,2,0.0
159407,10,0,0,10,0.0
456849,24,0,25,49,0.0
276941,4,0,0,4,0.0
413726,0,0,1,1,0.0
538304,4,0,0,4,0.0
638137,280,0,248,528,0.0
61945,1,0,3,4,0.0
853656,1,0,1,2,0.0
123525,154,15,513,682,0.021994134897360705
37672,349,0,830,1179,0.0
398318,5,0,2,7,0.0
375440,8,0,0,8,0.0
280975,2,0,0,2,0.0
392124,0,0,3,3,0.0
309991,9,0,0,9,0.0
202742,126,0,70,196,0.0
439188,31,0,33,64,0.0
653623,2,0,0,2,0.0
463372,5,0,0,5,0.0
317761,3,0,0,3,0.0
318447,7,0,4,11,0.0
933543,748,0,332,1080,0.0
373737,0,0,2,2,0.0
827817,275,0,164,439,0.0
518677,22,2,0,24,0.08333333333333333
127274,418,20,176,614,0.03257328990228013
198890,31,0,14,45,0.0
495340,23,0,4,27,0.0
375891,143,0,48,191,0.0
55533,0,0,1,1,0.0
419110,96,0,37,133,0.0
866553,12,0,3,15,0.0
990706,28,0,1,29,0.0
974668,3,0,0,3,0.0
973397,1,0,0,1,0.0
203645,18,0,1,19,0.0
884931,5,0,1,6,0.0
785007,1,0,0,1,0.0
700412,8,0,1,9,0.0
31093,59,0,30,89,0.0
243509,34,0,149,183,0.0
504933,39,0,12,51,0.0
328167,5,0,1,6,0.0
376160,133,0,290,423,0.0
703458,4,0,2,6,0.0
243703,0,0,20,20,0.0
154424,0,0,1,1,0.0
80842,432,0,210,642,0.0
642275,775,0,271,1046,0.0
893647,59,0,53,112,0.0
933467,359,3,178,540,0.005555555555555556
272439,111,1,51,163,0.006134969325153374
286725,2,0,10,12,0.0
778554,21,0,3,24,0.0
716309,1,0,0,1,0.0
17680,9,0,3,12,0.0
517794,33,0,8,41,0.0
285355,2,0,0,2,0.0
133761,12,0,3,15,0.0
178342,3,0,1,4,0.0
902521,9,0,6,15,0.0
331911,778,0,1239,2017,0.0
527960,11,0,2,13,0.0
474266,78,0,57,135,0.0
226721,278,0,108,386,0.0
633861,0,0,1,1,0.0
777085,1,0,1,2,0.0
673396,10,0,913,923,0.0
337517,0,0,192,192,0.0
789909,0,0,119,119,0.0
261930,0,0,39,39,0.0
719362,0,0,94,94,0.0
406409,0,0,11,11,0.0
595565,9,0,820,829,0.0
982064,0,0,62,62,0.0
899169,0,0,24,24,0.0
385063,0,0,29,29,0.0
279914,0,0,10,10,0.0
752483,0,0,35,35,0.0
197883,3,0,170,173,0.0
680086,0,0,34,34,0.0
934539,0,0,23,23,0.0
221832,3,0,0,3,0.0
518337,0,0,2,2,0.0
705700,0,0,1,1,0.0
777838,0,0,1,1,0.0
495062,203,6,218,427,0.01405152224824356
443306,2,0,1,3,0.0
946565,255,1,203,459,0.002178649237472767
67311,15,0,6,21,0.0
464546,8,0,6,14,0.0
503172,8,0,1,9,0.0
362070,9,0,0,9,0.0
521548,283,0,186,469,0.0
808583,447,0,369,816,0.0
656693,747,0,616,1363,0.0
273206,43,0,38,81,0.0
614509,64,0,36,100,0.0
410924,2,0,13,15,0.0
831895,21,0,6,27,0.0
744785,45,0,11,56,0.0
850183,1,0,4,5,0.0
31551,46,0,9,55,0.0
455847,98,0,74,172,0.0
389954,101,0,29,130,0.0
190520,5,0,1,6,0.0
15094,3,0,1,4,0.0
317525,0,0,1,1,0.0
342575,1,0,0,1,0.0
381534,1,0,0,1,0.0
130871,2,0,3,5,0.0
769644,1,0,1,2,0.0
173335,32,0,9,41,0.0
294754,9,0,5,14,0.0
996018,84,0,14,98,0.0
534354,2475,0,802,3277,0.0
679453,84,0,23,107,0.0
840179,27,0,15,42,0.0
669467,238,0,58,296,0.0
413366,851,0,259,1110,0.0
970070,70,0,22,92,0.0
251287,57,0,30,87,0.0
970302,198,0,104,302,0.0
765248,35,0,31,66,0.0
555549,117,0,53,170,0.0
306454,0,0,1,1,0.0
76792,320,0,236,556,0.0
318838,34,0,14,48,0.0
209967,59,0,63,122,0.0
741741,51,0,21,72,0.0
993311,3,0,0,3,0.0
861022,0,0,11,11,0.0
5633,0,0,3,3,0.0
817821,0,0,4,4,0.0
340757,3,0,0,3,0.0
723964,1,0,1,2,0.0
715150,1,0,1,2,0.0
54730,1,0,0,1,0.0
485607,38,0,19,57,0.0
912005,1,0,0,1,0.0
786610,9,0,0,9,0.0
254246,2,0,0,2,0.0
784860,1,0,0,1,0.0
518021,9,0,15,24,0.0
256616,1,0,3,4,0.0
158938,1,0,1,2,0.0
315789,2,0,0,2,0.0
87955,0,0,1,1,0.0
424250,3,0,2,5,0.0
340162,4,0,0,4,0.0
267909,12,0,4,16,0.0
487047,1,0,0,1,0.0
801198,4,0,0,4,0.0
677060,3,0,3,6,0.0
56607,1,0,1,2,0.0
759812,0,0,1,1,0.0
253613,3,0,1,4,0.0
90821,1,0,0,1,0.0
581454,1,0,0,1,0.0
412042,1,0,1,2,0.0
695578,1,0,0,1,0.0
325583,3,0,2,5,0.0
799284,1,0,0,1,0.0
976766,2,0,2,4,0.0
846932,3,0,1,4,0.0
182795,1,0,0,1,0.0
846173,4,0,11,15,0.0
54399,5,0,1,6,0.0
870067,3,0,0,3,0.0
292215,3,0,1,4,0.0
535080,0,0,4,4,0.0
56310,0,0,1,1,0.0
240106,16,0,12,28,0.0
674301,0,0,7,7,0.0
132370,0,0,1,1,0.0
132324,22,0,7,29,0.0
10571,0,0,2,2,0.0
584194,2,0,3,5,0.0
912086,6,0,2,8,0.0
917678,0,0,3,3,0.0
400214,2,0,4,6,0.0
491875,0,0,8,8,0.0
175813,1,0,1,2,0.0
902446,1,0,0,1,0.0
838330,2,0,0,2,0.0
957490,2,0,0,2,0.0
297618,1,0,0,1,0.0
208227,1,0,0,1,0.0
684978,3,0,0,3,0.0
930674,5,0,1,6,0.0
274218,6,0,1,7,0.0
559299,3,0,1,4,0.0
977711,0,0,5,5,0.0
420202,0,0,1,1,0.0
787837,39,0,11,50,0.0
463376,13,0,21,34,0.0
279403,1,0,0,1,0.0
425736,1,0,0,1,0.0
962589,2,0,1,3,0.0
224950,0,0,1,1,0.0
841573,0,0,1,1,0.0
324375,0,0,4,4,0.0
772082,0,0,3,3,0.0
